"number","assignment_group","variables.c484205e1b7aff00b3c9a9fe6e4bcb67","variables.91a4a05e1b7aff00b3c9a9fe6e4bcb5d"
"SCTASK0012533","COG - Service Desk Support","CFA - County Safeguarding Visitor","I need to be added to Hampshire FA as  CFA - County Safeguarding Visitor  for my role of DDSO in order to report on Safeguarding visits"
"SCTASK0012508","COG - Service Desk Support","Can you kindly please renew the FA profiles for the following consultants. They will now be covering National Team camps for 2020-21 season","FA Profile including FA email, MS 365 account

Andrew Barker
James Boyd
Peter Talbot
Tom Freeman
Nigel Cox"
"SCTASK0012486","COG - Service Desk Support","Proactis Issues","I am having issues with Proactis. Tom Ramsell left the FA and I am his stand-in and we also were told I would have access to view his POs, cancel and receipt them but I cannot seem to do any of this, so I cannot receipt POs and cancel, or even view them, could this be looked into at the up most urgency please. 

An example is a PO for Paul Litten £150 which I cant find or even cancel, see the attachment"
"SCTASK0012485","COG - Application Support","Update Wildcats Lead Deliverer Requirements","For Wildcats (only), please update the qualifications needed to be a lead deliverer to:

Lead Coach must have:
•	FA Playmaker or FA Level 1 in Coaching (or above)
•	In date FA DBS
•	18+

Also, the copy in the application form needs to mirror this."
"SCTASK0012484","COG - Service Desk Support","Add email to mailbox","Please add Liam Crane <Liam.Crane2@thefa.com> to the faevents@thefa.com mailbox?"
"SCTASK0012481","COG - ServiceNow Support","Unable to get notification for Chats in Service Now even though ""Allow"" Notification is enabled","Need to create tickets on the basis of chat received,   Please provide this access to Suresh Jayashree, Dwarampudi Suneetha and Abhipsa Nayak from FA SD"
"SCTASK0012471","COG - Application Support","Access to FA Whole Game System","require admin access to carry out county appeals"
"SCTASK0012433","COG - Application Support","CRM will not allow me to upload evidence documents to a misconduct case","Documents need to be added to misconduct cases prior to making them active. This ensures charged clubs/individuals will receive their evidence packs."
"SCTASK0012432","COG - Application Support","Access to Whole Game System","For work"
"SCTASK0012431","COG - Service Desk Support","CRM Document Processing can not be started, assistance required in adding CRM to trusted sites","CRM Document Processing can not be started - this is required for us to be able to add supporting documentation to discipline cases. It states that CRM must be added to list of trusted websites. But when i attempt this, the option to add CRM to trusted sites is greyed out.

See attached screenshot."
